"Runoff",	"f6a54329-486b-4d5f-b105-c639cec42351",	"Terrestrial Hydrosphere > Surface Water > Surface Water Processes/Measurements > Runoff",	"regular",	"Earth Science > Terrestrial Hydrosphere > Surface Water > Surface Water Processes/Measurements > Runoff"
"Inundation",	"c6c0c5dd-c0ca-4670-bbaa-c22d39e73570",	"Terrestrial Hydrosphere > Surface Water > Surface Water Processes/Measurements > Inundation",	"regular",	"Earth Science > Terrestrial Hydrosphere > Surface Water > Surface Water Processes/Measurements > Inundation"
"Surface Water Processes/Measurements",	"9d86cd70-062a-4c39-b3f3-226abebc07f7",	"Terrestrial Hydrosphere > Surface Water > Surface Water Processes/Measurements",	"regular",	"Earth Science > Terrestrial Hydrosphere > Surface Water > Surface Water Processes/Measurements"
"Drainage Basins",	"272700c5-d762-452b-8e9f-130e3a51efb5",	"Terrestrial Hydrosphere > Surface Water > Surface Water Features > Drainage Basins",	"regular",	"Earth Science > Terrestrial Hydrosphere > Surface Water > Surface Water Features > Drainage Basins"
"Surface Water Features",	"959f1861-a776-41b1-ba6b-d23c71d4d1eb",	"Terrestrial Hydrosphere > Surface Water > Surface Water Features",	"regular",	"Earth Science > Terrestrial Hydrosphere > Surface Water > Surface Water Features"
"Surface Water Chemistry",	"1baa552d-c563-43fb-b618-54651f8b07e6",	"Terrestrial Hydrosphere > Surface Water > Surface Water Chemistry",	"regular",	"Earth Science > Terrestrial Hydrosphere > Surface Water > Surface Water Chemistry"
"Surface Water",	"5debb283-51e4-435e-b2a2-e8e2a977220d",	"Terrestrial Hydrosphere > Surface Water",	"bold",	"Earth Science > Terrestrial Hydrosphere > Surface Water"
"Groundwater Chemistry",	"8435030e-8d16-409f-a812-ace5d8ffc122",	"Terrestrial Hydrosphere > Ground Water > Groundwater Chemistry",	"regular",	"Earth Science > Terrestrial Hydrosphere > Ground Water > Groundwater Chemistry"
"Subsurface Flow",	"872a0464-884c-4d6f-8f06-0679329dadcc",	"Terrestrial Hydrosphere > Ground Water > Ground Water Processes/Measurements > Subsurface Flow",	"regular",	"Earth Science > Terrestrial Hydrosphere > Ground Water > Ground Water Processes/Measurements > Subsurface Flow"
"Saltwater Intrusion",	"4a11a257-99c6-4f87-8884-2a2aa46a49fa",	"Terrestrial Hydrosphere > Ground Water > Ground Water Processes/Measurements > Saltwater Intrusion",	"regular",	"Earth Science > Terrestrial Hydrosphere > Ground Water > Ground Water Processes/Measurements > Saltwater Intrusion"
"Percolation",	"d64094ae-774b-4435-8f2e-a54d114e5555",	"Terrestrial Hydrosphere > Ground Water > Ground Water Processes/Measurements > Percolation",	"regular",	"Earth Science > Terrestrial Hydrosphere > Ground Water > Ground Water Processes/Measurements > Percolation"
"Land Subsidence",	"a1bf1e84-c4e7-4154-ad0a-4b9eedf45066",	"Terrestrial Hydrosphere > Ground Water > Ground Water Processes/Measurements > Land Subsidence",	"regular",	"Earth Science > Terrestrial Hydrosphere > Ground Water > Ground Water Processes/Measurements > Land Subsidence"
"Infiltration",	"638a22af-4e97-450e-a278-b81338443230",	"Terrestrial Hydrosphere > Ground Water > Ground Water Processes/Measurements > Infiltration",	"regular",	"Earth Science > Terrestrial Hydrosphere > Ground Water > Ground Water Processes/Measurements > Infiltration"
"Drainage",	"6a2107ab-38ab-42dc-beb0-8ba5f65e8022",	"Terrestrial Hydrosphere > Ground Water > Ground Water Processes/Measurements > Drainage",	"regular",	"Earth Science > Terrestrial Hydrosphere > Ground Water > Ground Water Processes/Measurements > Drainage"
"Dispersion",	"d2d4ee50-99ed-4ee7-b957-22271a60c031",	"Terrestrial Hydrosphere > Ground Water > Ground Water Processes/Measurements > Dispersion",	"regular",	"Earth Science > Terrestrial Hydrosphere > Ground Water > Ground Water Processes/Measurements > Dispersion"
"Submarine Groundwater Discharge (Sgd)",	"0976b778-91be-40e7-9ed7-ebbf214bb818_Variable-Level-3-added-by-Ouida-Meier-20170809",	"Terrestrial Hydrosphere > Ground Water > Ground Water Processes/Measurements > Discharge > Submarine Groundwater Discharge (Sgd)",	"regular",	"Earth Science > Terrestrial Hydrosphere > Ground Water > Ground Water Processes/Measurements > Discharge > Submarine Groundwater Discharge (Sgd)"
"Discharge",	"0976b778-91be-40e7-9ed7-ebbf214bb818",	"Terrestrial Hydrosphere > Ground Water > Ground Water Processes/Measurements > Discharge",	"regular",	"Earth Science > Terrestrial Hydrosphere > Ground Water > Ground Water Processes/Measurements > Discharge"
"Aquifer Depth",	"ee3893bc-f0d6-445a-8982-f852785d5768",	"Terrestrial Hydrosphere > Ground Water > Ground Water Processes/Measurements > Aquifer Recharge > Aquifer Depth",	"regular",	"Earth Science > Terrestrial Hydrosphere > Ground Water > Ground Water Processes/Measurements > Aquifer Recharge > Aquifer Depth"
"Aquifer Recharge",	"dbeaaf9f-294c-4e45-ba9e-7be8cd449db1",	"Terrestrial Hydrosphere > Ground Water > Ground Water Processes/Measurements > Aquifer Recharge",	"regular",	"Earth Science > Terrestrial Hydrosphere > Ground Water > Ground Water Processes/Measurements > Aquifer Recharge"
"Ground Water Processes/Measurements",	"6e4b29b7-a0c9-4e8e-b778-23b50cf8efb8",	"Terrestrial Hydrosphere > Ground Water > Ground Water Processes/Measurements",	"regular",	"Earth Science > Terrestrial Hydrosphere > Ground Water > Ground Water Processes/Measurements"
"Water Table",	"ecbe9f17-6012-4e39-a707-713973b7d167",	"Terrestrial Hydrosphere > Ground Water > Ground Water Features > Water Table",	"regular",	"Earth Science > Terrestrial Hydrosphere > Ground Water > Ground Water Features > Water Table"
"Freshwater Springs",	"c87c086a-933f-44c7-a128-33279b36d7b5",	"Terrestrial Hydrosphere > Ground Water > Ground Water Features > Freshwater Springs",	"regular",	"Earth Science > Terrestrial Hydrosphere > Ground Water > Ground Water Features > Freshwater Springs"
"Aquifers",	"a957363b-2f2c-4169-a656-c2f24933eb72",	"Terrestrial Hydrosphere > Ground Water > Ground Water Features > Aquifers",	"regular",	"Earth Science > Terrestrial Hydrosphere > Ground Water > Ground Water Features > Aquifers"
"Ground Water Features",	"ae94befb-d08e-4350-8ebe-c0ba7ded8320",	"Terrestrial Hydrosphere > Ground Water > Ground Water Features",	"regular",	"Earth Science > Terrestrial Hydrosphere > Ground Water > Ground Water Features"
"Ground Water",	"734f8f27-6976-4b67-8794-c7fc79d6161e",	"Terrestrial Hydrosphere > Ground Water",	"bold",	"Earth Science > Terrestrial Hydrosphere > Ground Water"
"Terrestrial Hydrosphere",	"885735f3-121e-4ca0-ac8b-f37dbc972f03",	"Terrestrial Hydrosphere",	"bold",	"Earth Science > Terrestrial Hydrosphere"
"Volcanic Activity",	"1faaede0-2cd6-4447-b28b-0a28d9e2d067",	"Solid Earth > Tectonics > Volcanic Activity",	"regular",	"Earth Science > Solid Earth > Tectonics > Volcanic Activity"
"Tectonics",	"1e17c8d3-81d0-473c-8f24-d2a4ea52b6b9",	"Solid Earth > Tectonics",	"regular",	"Earth Science > Solid Earth > Tectonics"
"Rocks/Minerals/Crystals",	"ba8d7f68-ad3a-4874-bc75-312b24b1b1ac",	"Solid Earth > Rocks/Minerals/Crystals",	"regular",	"Earth Science > Solid Earth > Rocks/Minerals/Crystals"
"Gravity Anomalies",	"fb7eeee0-9ad1-40f8-baa2-df7dc3acb6d3",	"Solid Earth > Gravity/Gravitational Field > Gravity Anomalies",	"regular",	"Earth Science > Solid Earth > Gravity/Gravitational Field > Gravity Anomalies"
"Gravity",	"69af3046-08e0-4c24-981d-803c0412ce58",	"Solid Earth > Gravity/Gravitational Field > Gravity",	"regular",	"Earth Science > Solid Earth > Gravity/Gravitational Field > Gravity"
"Gravitational Field",	"56b4cbe5-e5f7-4e61-8c48-bbb858b505e6",	"Solid Earth > Gravity/Gravitational Field > Gravitational Field",	"regular",	"Earth Science > Solid Earth > Gravity/Gravitational Field > Gravitational Field"
"Geothermal Dynamics",	"ec2bf43d-2525-439e-bbbe-0db758e71965",	"Solid Earth > Geothermal Dynamics",	"regular",	"Earth Science > Solid Earth > Geothermal Dynamics"
"Fluvial Processes",	"6f47ae88-f28f-43e3-be6a-34f86b15fe19",	"Solid Earth > Geomorphic Landforms/Processes > Fluvial Processes",	"regular",	"Earth Science > Solid Earth > Geomorphic Landforms/Processes > Fluvial Processes"
"Fluvial Landforms",	"cb5193ab-2d7a-4b35-b7ec-f16ce78ae270",	"Solid Earth > Geomorphic Landforms/Processes > Fluvial Landforms",	"regular",	"Earth Science > Solid Earth > Geomorphic Landforms/Processes > Fluvial Landforms"
"Coastal Processes",	"672d6958-4bbc-4b33-adc8-927e4348908b",	"Solid Earth > Geomorphic Landforms/Processes > Coastal Processes",	"regular",	"Earth Science > Solid Earth > Geomorphic Landforms/Processes > Coastal Processes"
"Coastal Landforms",	"c58320e6-3f1d-4c36-9bee-6bad73404c21",	"Solid Earth > Geomorphic Landforms/Processes > Coastal Landforms",	"regular",	"Earth Science > Solid Earth > Geomorphic Landforms/Processes > Coastal Landforms"
"Geomorphic Landforms/Processes",	"b5cb1fab-7281-478f-bb3b-ff04f900b3fc",	"Solid Earth > Geomorphic Landforms/Processes",	"regular",	"Earth Science > Solid Earth > Geomorphic Landforms/Processes"
"Marine Geochemical Processes",	"5cef2f41-a17a-4eff-8ce4-328593e1b703",	"Solid Earth > Geochemistry > Marine Geochemical Processes",	"regular",	"Earth Science > Solid Earth > Geochemistry > Marine Geochemical Processes"
"Geochemical Processes",	"e6fb1b81-8ffc-486f-b1a1-2f292af8cee6",	"Solid Earth > Geochemistry > Geochemical Processes",	"regular",	"Earth Science > Solid Earth > Geochemistry > Geochemical Processes"
"Biogeochemical Processes",	"b472632f-8e67-4892-9896-1c14c5089682",	"Solid Earth > Geochemistry > Biogeochemical Processes",	"regular",	"Earth Science > Solid Earth > Geochemistry > Biogeochemical Processes"
"Geochemistry",	"906e647b-2683-4ae7-9986-1aea15582b52",	"Solid Earth > Geochemistry",	"regular",	"Earth Science > Solid Earth > Geochemistry"
"Solid Earth",	"2b9ad978-d986-4d63-b477-0f5efc8ace72",	"Solid Earth",	"bold",	"Earth Science > Solid Earth"
"Storm Surge",	"062be713-9c35-458e-86e2-26cea9415f5d",	"Oceans > Tides > Storm Surge",	"regular",	"Earth Science > Oceans > Tides > Storm Surge"
"Tides",	"e3bef663-6116-4f15-995c-38c7cdc9652c",	"Oceans > Tides",	"regular",	"Earth Science > Oceans > Tides"
"Salinity",	"7e95b5fc-1d58-431a-af36-948b29fa870d",	"Oceans > Salinity/Density > Salinity",	"regular",	"Earth Science > Oceans > Salinity/Density > Salinity"
"Desalinization",	"41926d67-161a-4add-bb12-66038c919efb",	"Oceans > Salinity/Density > Desalinization",	"regular",	"Earth Science > Oceans > Salinity/Density > Desalinization"
"Density",	"007ab607-2ee1-484d-85fb-0bfb89f18c9b",	"Oceans > Salinity/Density > Density",	"regular",	"Earth Science > Oceans > Salinity/Density > Density"
"Ocean Temperature",	"251c87cd-03b3-464f-8390-8ede2fec28fc",	"Oceans > Ocean Temperature",	"regular",	"Earth Science > Oceans > Ocean Temperature"
"Phosphate",	"0b513d8c-bfd3-44ee-976e-42757b8375a2",	"Oceans > Ocean Chemistry > Phosphate",	"regular",	"Earth Science > Oceans > Ocean Chemistry > Phosphate"
"Nitrogen",	"db5357c9-cc9d-4693-86fe-6bb88555d434",	"Oceans > Ocean Chemistry > Nitrogen",	"regular",	"Earth Science > Oceans > Ocean Chemistry > Nitrogen"
"Marine Geochemistry",	"1dfb36a3-f985-4514-a1d0-cc73ca572922",	"Oceans > Ocean Chemistry > Marine Geochemistry",	"regular",	"Earth Science > Oceans > Ocean Chemistry > Marine Geochemistry"
"Ocean Chemistry",	"6eb3919b-85ce-4988-8b78-9d0018fd8089",	"Oceans > Ocean Chemistry",	"bold",	"Earth Science > Oceans > Ocean Chemistry"
"Marine Volcanism",	"e3b178eb-2d47-41db-aba1-43a05e9e9256",	"Oceans > Marine Volcanism",	"regular",	"Earth Science > Oceans > Marine Volcanism"
"Marine Geophysics",	"bb04ee83-bf49-4f96-898d-20bb6e92bc93",	"Oceans > Marine Geophysics",	"regular",	"Earth Science > Oceans > Marine Geophysics"
